Category,Ref Code,Bar Code,Name,Sell Price,Cost,Buy Price
Beer,8780000073,8780000073,Blue Moon Single,1.59,0,0
Beer,182000168,182000168,12 oz Bud Bottle Single,1.13,0,0
Beer,8200072384,8200072384,Smirnoff Single Bottle,1.69,0,0
Beer,8200075882,8200075882,Smirnoff Cherry Limeade,2.09,0,0
Beer,1820025006,1820025006,25oz Bud ICe,1.29,0,0
Beer,7825000464,7825000464,Single 16oz  211,0.89,0,0
Beer,3410000880,3410000880,Ice House 24oz,1.69,0,0
Beer,18200001061,18200001061,Single 12oz BudLight Can,1.12,0,0
Beer,1820000178,1820000178,12 oz B.L. Lime Single,1.49,0,0
Beer,1820061218,1820061218,Busch 18pk Cans,13.5,0,0
Beer,3410000884,3410000884,Icehouse 40oz,2.09,0,0
Beer,7825000507,7825000507,Sparks Blackberry Single,1.78,0,0
Beer,1820025008,1820025008,Natural Ice 25oz,1.79,0,0
Beer,1820000231,1820000231,24 oz Busch,1.79,0,0
Beer,34100003542,34100003542,6pk 12oz Miller Lite Can,6.59,0,0
Beer,8043280254,8043280254,Strawberry Daiquiri 4-pk,6.89,0,0
Beer,8474640006,8474640006,Clubtails Bahama Mama,1.99,0,0
Beer,36,36,12oz Miller Lite Case,25,0,0
Beer,7125000018,7125000018,Qt. Colt 45,1.89,0,0
Beer,8066000001,8066000001,Corona Extra Single Bottle,1.59,0,0
Beer,8200072747,8200072747,Smirnoff Apple Single Bottle,1.69,0,0
Beer,18200000161,18200000161,Single 12oz Bud Can,1.12,0,0
Beer,1820000225,1820000225,24 oz Natural Light,1.79,0,0
Beer,8066095641,8066095641,24 oz Corona,2.89,0,0
Beer,3410000672,3410000672,Milwaukees best Premium,1.79,0,0
Beer,71990320001,71990320001,Single 16oz Can ,1.13,0,0
Beer,1820000595,1820000595,Strawberry Lime Rita,3.09,0,0
Beer,1820000646,1820000646,6 pk Bud Ice,5.69,0,0
Beer,948700007,948700007,Heinkien 24oz Bottle,2.89,0,0
Beer,8200072385,8200072385,Smirnoff Regular 6pk,9.59,0,0
Beer,35,35,12oz Coors Case,25,0,0
Beer,1820000490,1820000490,12 oz Bud Ice Bottle,0.95,0,0
Beer,1820000466,1820000466,24 oz Bud Can,2.09,0,0
Beer,1820000468,1820000468,24 oz Budlight Can,2.09,0,0
Beer,38,38,Michelob Ultra,27,0,0
Beer,1820000359,1820000359,24 oz Natural Ice,1.79,0,0
Beer,1820000008,1820000008,Qt. Budweiser,2.79,0,0
Beer,1820000332,1820000332,12 oz Michelob U.L. Single,1.39,0,0
Beer,18200001152,18200001152,6pk 16oz B.L. Can,6.79,0,0
Beer,1820000117,1820000117,Qt. BudLight,2.79,0,0
Beer,1820000771,1820000771,12 pk Bud Bottle,13.39,0,0
Beer,8200072611,8200072611,Smirnoff Black,2.89,0,0
Beer,8066095683,8066095683,Corona 32oz Bottle,3.79,0,0
Beer,7199000000,7199000000,12oz Coors Light Bottles,1.29,0,0
Beer,3.41E+11,3.41E+11,16oz Miller Lite Single,1.29,0,0
Beer,7825000509,7825000509,Sparks Blackberry 4pk,6.79,0,0
Beer,7825000036,7825000036,211 Triple Export,1.69,0,0
Beer,18200000162,18200000162,6pk 12oz Bud Can,6.79,0,0
Beer,8043210346,8043210346,Jamaican Me Happy 4pk,6.89,0,0
Beer,8500000205,8500000205,B & J Fuzzy Naval 4pk,6.89,0,0
Beer,8474640007,8474640007,Clubtails Sex On The Beach,1.99,0,0
Beer,1820000907,1820000907,Bud Light Platinum Single,1.39,0,0
Beer,1820000962,1820000962,Lime Rita 24oz,3.09,0,0
Beer,8500000208,8500000208,B & J Fuzzy Naval,1.79,0,0
Beer,8500000131,8500000131,B & J Strawberry,1.79,0,0
Beer,8066000002,8066000002,Corona Light Bottle Single,1.59,0,0
Beer,8066095625,8066095625,Corona Light Bottle 6 pk,9.59,0,0
Beer,3410000362,3410000362,Miller Lite  12oz Bottle,1.29,0,0
Beer,1820025505,1820025505,Strawberry Rita,3.09,0,0
Beer,1820011047,1820011047,12 pk Bud Cans,13.39,0,0
Beer,1820025531,1820025531,Raz-Ber- Rita,3.09,0,0
Beer,8200072751,8200072751,Smirnoff Apple 6pk,9.59,0,0
Beer,28,28,24oz Busch Can Case,20.5,0,0
Beer,1820005989,1820005989,12 oz Michelob U.L. 6 pk ,8.19,0,0
Beer,1820000352,1820000352,24 oz Bud Bottle,2.19,0,0
Beer,3410000355,3410000355,Miller Lite  24oz,1.96,0,0
Beer,1820014991,1820014991,12 oz B.L. Lime 6 pk,8.29,0,0
Beer,1820096916,1820096916,Hurricane,2.39,0,0
Beer,18200000181,18200000181,Single 16oz Bud Can,1.2,0,0
Beer,18200001151,18200001151,Single 16oz BudLight Can,1.2,0,0
Beer,1820025014,1820025014,Lime-A-Rita,3.09,0,0
Beer,7199030065,7199030065,Coors 24oz Can,1.96,0,0
Beer,3410057505,3410057505,Miller 6pk 12oz Bottles,7.19,0,0
Beer,1820096721,1820096721,Michelob Ultra Cans 18Pk,22,0,0
Beer,1820000456,1820000456,Bud Light 18oz ,1.39,0,0
Beer,3410000008,3410000008,Miller High Life 32oz,1.69,0,0
Beer,7125040205,7125040205,24oz Colt 45,1.69,0,0
Beer,22,22,16oz Bud Can Case,28,0,0
Beer,1820000773,1820000773,7 oz Budlight Bottle 6pk,4.89,0,0
Beer,1820000769,1820000769,12 pk BudLight Bottle,13.39,0,0
Beer,1820000070,1820000070,Qt. Busch,1.89,0,0
Gas,70,70,GAS,0,0,0
Grocery,4767722960,4767722960,Twix Ice Cream,2.19,0,0
Grocery,2190098145,2190098145,Hot Potato Chips,0.99,0,0
Grocery,2.00E+11,2.00E+11,Lunchmeat,3.2,0,0
Grocery,2400001108,2400001108,Del Monte Green,1.59,0,0
Grocery,7641008180,7641008180,Peanut Bar,0.79,0,0
Grocery,2829343910,2829343910,Crunchy Cheese Curls,0.4,0,0
Grocery,2829343911,2829343911,Cheese Puffs,0.4,0,0
Grocery,38200000069,38200000069,Dill Pickle,1.19,0,0
Grocery,7641001012,7641001012,Cheddar Cheese,0.59,0,0
Grocery,7641090097,7641090097,Lance Jalapeno Cheddar,0.59,0,0
Grocery,7874243408,7874243408,Oats,1.99,0,0
Grocery,2840002955,2840002955,Munchies Flammin Hot,1.49,0,0
Grocery,4143100864,4143100864,GAD Steak Biscuit,3.99,0,0
Grocery,4116800081,4116800081,Rainbow Stick,0.39,0,0
Grocery,2840000063,2840000063,Nacho Cheese Dip,1.29,0,0
Grocery,2190006338,2190006338,Hot Fries,0.99,0,0
Grocery,2840009146,2840009146,Frito Lay Trail Mix,1.99,0,0
Grocery,2430083558,2430083558,Coffee Cake,0.35,0,0
Grocery,41420003090,41420003090,Lemonheads,0.3,0,0
Grocery,2840009795,2840009795,Munchies Cheese,1.29,0,0
Grocery,4300095569,4300095569,Lemonade kool aid,0.39,0,0
Grocery,2840043634,2840043634,Doritos Jacked,1.49,0,0
Grocery,2829360300,2829360300,Classic Chips,0.59,0,0
Grocery,5100014653,5100014653,V8 Splash Berry Blend,1.69,0,0
Grocery,7235000007,7235000007,Yoo-Hoo Can,0.79,0,0
Grocery,89239500209,89239500209,Drank,2.99,0,0
Grocery,72264897818,72264897818,Jelly Beans,0.59,0,0
Grocery,72264897802,72264897802,Gummi Worms,0.59,0,0
Grocery,72264897840,72264897840,Tootsie Rolls,0.59,0,0
Grocery,72796811050,72796811050,Red Hot Sausage,0.5,0,0
Grocery,5100001231,5100001231,Vegetable Beef Soup,2.39,0,0
Grocery,2840016190,2840016190,Classic Lays,0.59,0,0
Grocery,2840028212,2840028212,Hot Funyuns,1.49,0,0
Grocery,7641090162,7641090162,Lance Toasty Crackers,0.59,0,0
Grocery,7797501005,7797501005,Jalapeno,0.99,0,0
Grocery,1113701212,1113701212,Fischer's Honey,5.39,0,0
Grocery,7811256972,7811256972,Comet 28oz,1.89,0,0
Grocery,2840008765,2840008765,Cheetos,0.5,0,0
Grocery,2840007840,2840007840,Hot Peanuts,0.59,0,0
Grocery,2829300795,2829300795,brims sunflower seeds,0.99,0,0
Grocery,4120009929,4120009929,O-KE-DOKE ,1.09,0,0
Grocery,7641009426,7641009426,Lance Sunflower,0.59,0,0
Grocery,1601201026,1601201026,Bigs Sunflower Seeds,0.99,0,0
Grocery,2840002692,2840002692,Baken-ets Traditional ,1.09,0,0
Grocery,2264897824,2264897824,Circus Peanuts,0.59,0,0
Grocery,2840016197,2840016197,Flamin Hot,0.5,0,0
Grocery,4900003329,4900003329,Fanta Peach,1.09,0,0
Grocery,2829300523,2829300523,Butter Popcorn,1.09,0,0
Grocery,2430073508,2430073508,Oats & Honey,0.25,0,0
Grocery,1200003243,1200003243,Mt Dew Throwback,1.59,0,0
Grocery,64420941100,64420941100,Lemon Supreme,1.79,0,0
Grocery,5210007107,5210007107,Mc. Asst,3.47,0,0
Grocery,41358850015,41358850015,S.S. Chicken Dumplings,2.99,0,0
Grocery,52310008782,52310008782,Sage,1.09,0,0
Grocery,64420941040,64420941040,Devil Food Cake Mix,1.59,0,0
Grocery,64420941140,64420941140,Cake Mix,1.69,0,0
